,booking_bool
30566,0
422055,1
169529,0
101097,0
178192,0
367848,0
32641,0
398254,0
2529,0
87608,0
44703,0
328977,1
373929,0
38581,0
27151,0
303449,1
134144,0
26168,0
79894,0
73510,0
239,0
247594,0
254584,0
27544,0
372262,1
31846,0
34476,0
163578,0
100867,0
299434,1
75829,0
172552,0
392685,0
66852,0
63326,0
366951,1
10705,0
399291,1
433906,1
138513,0
364999,1
243181,1
279976,0
89174,0
136985,0
111315,0
298564,1
388327,0
398144,0
6489,0
234454,1
127163,0
92154,0
109999,0
260139,1
333721,0
262651,0
152505,0
385466,0
291365,1
244632,0
278557,0
341034,1
163681,0
123250,0
369150,1
420388,0
170746,0
224296,1
348428,1
21636,0
408407,1
308254,1
60126,0
284122,0
134005,0
378836,1
322047,1
207603,0
16959,0
33216,0
71578,0
146444,0
386158,1
334883,0
121396,0
29355,0
20042,0
179449,0
167146,0
16539,0
91679,0
36010,0
246189,0
57857,0
324256,1
237189,0
109035,0
415623,0
163062,0
296227,0
32317,0
270038,0
48652,0
368920,1
161638,0
173785,0
396589,0
334130,1
248610,0
370769,0
387213,0
139956,0
187751,0
203726,0
231499,0
349387,1
96182,0
206081,0
38094,0
248065,1
351497,1
408839,0
357912,1
9345,0
206294,0
108945,0
234536,0
301782,0
403927,1
143063,0
383727,1
292426,1
407028,0
133951,0
95163,0
368839,1
142105,0
34117,0
374711,1
275927,0
354250,1
414325,1
322561,0
7652,0
323455,0
274004,1
129712,0
134821,0
434594,0
263316,1
328346,0
40786,0
244427,0
427287,1
225934,1
317175,1
57995,0
57526,0
283286,0
74702,0
360570,1
248414,0
331340,1
253680,0
81653,0
402611,0
290514,1
334127,1
328666,1
224334,1
177178,0
318143,0
202032,0
20510,0
233730,0
320045,1
157060,0
222586,1
233485,1
105777,0
294525,0
410330,0
82099,0
150062,0
175982,0
105531,0
306978,1
401797,1
358310,1
308095,1
430185,1
330460,1
179340,0
439207,1
216499,0
432705,0
402259,1
226995,1
217013,0
392103,1
285310,1
416215,1
405149,1
101316,0
224490,0
323284,1
140423,0
430243,1
310379,1
355694,0
184597,0
246950,0
49919,0
147293,0
243645,0
34248,0
216100,0
362548,1
89485,0
440903,1
430057,1
59184,0
83969,0
377458,0
127300,0
234156,0
199655,0
17017,0
269099,1
324854,0
200059,0
280496,1
219047,0
188033,0
898,0
185304,0
356819,0
127217,0
319380,0
59034,0
69147,0
322209,1
441719,1
73223,0
257264,1
279156,1
43203,0
101467,0
227753,1
339112,1
315657,1
352290,1
48876,0
144466,0
254433,1
305041,0
174918,0
381914,0
79974,0
370030,0
382587,0
48308,0
170071,0
220923,0
73350,0
147367,0
397111,1
275994,1
357839,0
79994,0
46924,0
193074,0
370842,1
282734,0
270104,1
151860,0
195445,0
371001,1
371302,1
359758,1
393337,1
159672,0
152746,0
411817,1
49928,0
86138,0
285550,1
30250,0
95367,0
266206,1
286461,0
207739,0
108911,0
280346,1
92307,0
240814,1
426835,1
152811,0
308650,1
231025,0
53073,0
170576,0
58131,0
255342,0
120884,0
129419,0
377820,1
112544,0
294626,1
410997,1
56780,0
47072,0
69096,0
4936,0
214260,0
97820,0
278419,1
131334,0
288441,1
440622,1
422643,0
35961,0
370364,0
346875,1
403198,1
413086,0
206604,0
344702,1
119671,0
413529,0
212148,0
202958,0
358716,1
117634,0
135110,0
180798,0
309327,0
258375,1
271775,0
424566,0
250231,1
378904,1
384858,1
81184,0
277735,0
90363,0
172396,0
161686,0
220215,0
70676,0
51735,0
45845,0
193348,0
272652,0
356734,1
214889,0
163873,0
92606,0
25637,0
438358,0
306819,1
319039,1
40257,0
333232,1
110252,0
95579,0
231827,1
370818,1
426399,1
41099,0
280689,0
112551,0
351154,1
405406,0
306022,1
51348,0
184094,0
191953,0
13406,0
349524,1
236442,0
386690,1
336405,1
237810,1
335962,1
406193,0
3257,0
441760,0
109939,0
99509,0
230430,0
89691,0
378640,1
429390,0
355507,1
412091,1
102883,0
379423,0
189472,0
17150,0
331253,0
207069,0
174536,0
417947,1
427300,1
288375,0
25624,0
5709,0
213437,0
231354,1
394000,1
315735,1
114888,0
7732,0
33018,0
55709,0
345793,0
7838,0
113391,0
112819,0
94435,0
83743,0
381716,1
79600,0
53078,0
269612,1
220908,0
23892,0
429126,1
75691,0
307466,0
36692,0
59160,0
145339,0
111280,0
35072,0
92701,0
128207,0
142797,0
141514,0
60897,0
142548,0
155748,0
43016,0
419639,1
321094,1
190793,0
324593,1
200024,0
287516,0
165179,0
121847,0
141418,0
98485,0
72714,0
91739,0
307212,1
186360,0
291812,1
309832,0
6119,0
29312,0
2894,0
428582,1
367425,0
425549,1
297707,0
271831,1
45580,0
16739,0
91058,0
43199,0
417565,0
21099,0
274345,1
394330,0
109953,0
201783,0
23995,0
433830,0
433947,1
66213,0
8416,0
252202,1
19335,0
295280,1
99152,0
193887,0
45484,0
93619,0
262190,1
360410,0
398877,1
190068,0
107316,0
109863,0
49959,0
365572,1
28351,0
220595,0
426784,1
285187,1
94074,0
94443,0
293824,1
387928,0
131925,0
279643,1
215759,0
130110,0
369046,0
274487,1
245982,1
155207,0
428498,1
81462,0
405800,0
219694,0
99759,0
292937,0
106439,0
389553,0
289944,0
411614,1
198822,0
381998,1
108016,0
160632,0
358108,1
134983,0
355989,1
240670,1
167185,0
87145,0
110457,0
267522,1
338420,1
40356,0
5823,0
291371,1
239363,0
60283,0
315736,1
201308,0
286684,0
125221,0
149727,0
130544,0
404980,1
326125,0
326374,1
173928,0
213118,0
53090,0
295382,0
256179,1
53593,0
39017,0
144742,0
259327,1
215706,0
14676,0
65903,0
188285,0
92683,0
174590,0
406961,1
111514,0
427512,0
53969,0
47797,0
323794,0
225279,1
48942,0
406716,0
331899,0
155083,0
7116,0
436189,1
130,0
214368,0
19401,0
343841,0
34965,0
171860,0
11938,0
393199,1
157110,0
194072,0
21149,0
112068,0
250178,1
158642,0
316968,0
336000,1
121155,0
52364,0
223695,1
208086,0
400227,1
303464,0
67554,0
369050,1
35001,0
333945,1
74300,0
342827,0
58634,0
295274,1
173986,0
175560,0
286467,0
277106,1
26858,0
227350,1
229398,1
39935,0
413481,1
331474,1
242718,0
210919,0
32737,0
100587,0
226889,1
168193,0
246717,1
176634,0
126985,0
284061,1
272262,1
134189,0
397153,0
44677,0
261005,0
160292,0
72639,0
322108,1
